speaker_a,speaker_b,scenes_together,mean_sentiment,std_sentiment,total_interactions,sentiment_trend,seasons_together
Jim,Pam,797,0.1437558526551982,0.3066306864387451,5348,0.5317975083963166,9
Dwight,Michael,711,0.109860774972209,0.349531193756938,6297,-0.9046968857111215,8
Dwight,Jim,678,0.09831551003344483,0.32728705806957936,4784,0.26186029449455506,9
Michael,Pam,529,0.1515582931110136,0.351289135103486,4558,0.28097506683244416,7
Jim,Michael,501,0.14088848874598073,0.3461709942171151,4665,-0.6985879884847922,8
Dwight,Pam,380,0.11318986175115206,0.3271524776908472,2387,0.38499011255786625,9
Andy,Dwight,329,0.10497305469097377,0.3411193538277378,2249,0.4353442595860041,7
Andy,Jim,316,0.1417284577114428,0.32692972052917285,2010,0.6675610736310618,7
Angela,Dwight,279,0.10523251231527095,0.3249198016655463,1624,0.6382857804086529,9
Kevin,Michael,243,0.1476905460060667,0.358437550587248,1978,-0.1891125603506391,7
Kevin,Oscar,233,0.09803663967611337,0.3014450477876055,988,0.540901521944094,9
Dwight,Phyllis,232,0.09339748653500897,0.3345926214750821,1114,0.7385475234178742,9
Jim,Kevin,230,0.12377745336577452,0.31252115702356986,1233,-0.04142799666491742,9
Andy,Erin,227,0.1329247130317353,0.33427654745625335,1481,-0.22970157146082026,5
Andy,Michael,224,0.15401072186836517,0.370275196033967,1884,-0.62817830019915,5
Kevin,Pam,222,0.106567017208413,0.30495086848752234,1046,0.5895971093206505,9
Andy,Pam,220,0.1450385291766587,0.3179092231046576,1251,0.041295233218609055,7
Michael,Oscar,217,0.144725641025641,0.36694819228491954,1755,-0.7008418605975517,7
Michael,Ryan,215,0.14867251324308417,0.3485530475562965,1699,-0.22503525578173184,7
Angela,Kevin,208,0.07019219620958751,0.3101371430833879,897,0.4917161385863525,9
Michael,Phyllis,203,0.1641434058898848,0.37067612354192997,1562,-0.16088630664858802,7
Andy,Kevin,203,0.12980551724137931,0.329425933861611,1015,0.7769297662254114,7
Pam,Phyllis,202,0.12052207943925233,0.31800643948231294,856,0.6190527084764709,9
Angela,Oscar,198,0.07502385620915032,0.3155891766141908,918,0.3942653842449621,9
Dwight,Oscar,195,0.08751177606177606,0.32212152907641706,1036,-0.15593657941072936,9
Jim,Phyllis,194,0.12645524324324325,0.31095098003708227,925,0.4585497453493416,9
Dwight,Kevin,194,0.08963208661417323,0.3280861306246341,1016,-0.07013391756820037,9
Angela,Pam,185,0.11712535991140641,0.32293836773736706,903,0.5768054687145827,9
Oscar,Pam,183,0.1328549463647199,0.329230952366863,839,-0.2125342385278524,9
Jim,Oscar,178,0.12301666666666666,0.3109973180892201,894,-0.8720195335214148,9
Andy,Phyllis,178,0.11473896424167696,0.3327324308153823,811,0.49887045495969184,7
